State,GMM_logp
georgia,-7.048833061158438
georgia,-7.048833061158438
georgia,-6.732468437113225
georgia,-6.787525574277406
georgia,-6.732468437113225
georgia,-6.732468437113225
georgia,-7.393084090099836
georgia,-7.393084090099836
georgia,-7.3968735726038055
georgia,-7.3968735726038055
georgia,-7.7896789310450085
georgia,-7.7896789310450085
georgia,-7.7896789310450085
georgia,-7.9905392156146675
georgia,-7.555521925540182
georgia,-7.555521925540182
georgia,-7.810525268475732
georgia,-7.555521925540182
georgia,-7.998614750952951
georgia,-7.998614750952951
georgia,-7.998614750952951
georgia,-7.998614750952951
georgia,-8.449643447863066
georgia,-8.449643447863066
georgia,-8.449643447863066
georgia,-8.449643447863066
georgia,-4.142409800116994
georgia,-4.142409800116994
georgia,-4.142409800116994
georgia,-4.142409800116994
georgia,-7.8709505451638515
georgia,-8.381107060903256
hawaii,-5.291891644216813
hawaii,-5.291891644216813
hawaii,-4.955499281052526
hawaii,-4.955499281052526
hawaii,-3.9865878395263565
hawaii,-3.9865878395263565
hawaii,-3.9865878395263565
hawaii,-3.659085263724472
hawaii,-4.05558884159196
hawaii,-4.393592656340253
hawaii,-4.393592656340253
hawaii,-4.393592656340253
hawaii,-3.662319827117673
hawaii,-3.342231935626131
hawaii,-3.662319827117673
hawaii,-3.0841806970970835
hawaii,-3.0915833326905098
hawaii,-3.0915833326905098
