"year","month","EPUType","State","EPU_value"
2000,5,"State","MT",186.474553154684
2000,5,"Composite","MT",186.474553154684
2000,5,"National","NC",120.50852330537
2000,5,"State","NC",68.8620133173545
2000,5,"Composite","NC",154.939529964048
2000,5,"National","ND",96.9630068500664
2000,5,"State","ND",24.2407517125166
2000,5,"Composite","ND",121.203758562583
2000,5,"National","NE",98.9806443761064
2000,5,"State","NE",65.9870962507376
2000,5,"Composite","NE",131.974192501475
2000,5,"National","NH",47.2274193287466
2000,5,"State","NH",94.4548386574933
2000,5,"Composite","NH",94.4548386574933
2000,5,"National","NJ",100.291921384206
2000,5,"State","NJ",42.2281774249287
2000,5,"Composite","NJ",126.684532274786
2000,5,"National","NM",22.8562825683337
2000,5,"State","NM",22.8562825683337
2000,5,"Composite","NM",45.7125651366674
2000,5,"National","NY",61.9081857993965
2000,5,"State","NY",68.0990043793361
2000,5,"Composite","NY",105.243915858974
2000,5,"National","OH",73.266903498784
2000,5,"State","OH",15.7000507497394
2000,5,"Composite","OH",78.5002537486971
2000,5,"National","OK",78.9812943584256
2000,5,"State","OK",63.1850354867405
2000,5,"Composite","OK",78.9812943584256
2000,5,"National","OR",111.141701921075
2000,5,"State","OR",111.141701921075
2000,5,"Composite","OR",185.236169868459
2000,5,"National","PA",64.1670457558053
2000,5,"State","PA",40.1044035973783
2000,5,"Composite","PA",100.261008993446
2000,5,"National","RI",28.4772076086717
2000,5,"State","RI",28.4772076086717
2000,5,"Composite","RI",28.4772076086717
2000,5,"National","SC",52.0062975688377
2000,5,"State","SC",34.6708650458918
2000,5,"Composite","SC",86.6771626147295
2000,5,"National","TN",53.9905751607631
2000,5,"State","TN",32.3943450964579
2000,5,"Composite","TN",64.7886901929158
2000,5,"National","TX",110.207841314177
2000,5,"State","TX",38.1488681472153
2000,5,"Composite","TX",139.879183206456
2000,5,"National","UT",54.6068624824171
2000,5,"State","UT",24.269716658852
2000,5,"Composite","UT",60.6742916471301
2000,5,"National","VA",45.3969723474919
2000,5,"State","VA",36.3175778779935
2000,5,"Composite","VA",63.5557612864887
2000,5,"National","WA",88.7337442226263
2000,5,"State","WA",23.3509853217438
2000,5,"Composite","WA",102.744335415673
2000,5,"National","WI",120.546792591436
2000,5,"State","WI",9.27283019934126
2000,5,"Composite","WI",129.819622790778
2000,5,"National","WV",43.286618436803
2000,5,"State","WV",43.286618436803
2000,5,"Composite","WV",57.7154912490707
2000,6,"National","AK",90.1986312721653
2000,6,"State","AK",120.26484169622
2000,6,"Composite","AK",180.397262544331
2000,6,"National","AL",27.9122712483126
2000,6,"State","AL",13.9561356241563
2000,6,"Composite","AL",27.9122712483126
2000,6,"National","CA",111.917035159719
2000,6,"State","CA",58.7564434588527
2000,6,"Composite","CA",153.885923344614
2000,6,"National","CO",25.8429104265347
2000,6,"State","CO",12.9214552132674
2000,6,"Composite","CO",25.8429104265347
2000,6,"National","CT",72.3818340307026
2000,6,"State","CT",51.7013100219304
2000,6,"Composite","CT",103.402620043861
2000,6,"National","FL",63.5241648994002
2000,6,"State","FL",33.8795546130134
2000,6,"Composite","FL",84.6988865325336
2000,6,"National","GA",91.1580886069246
2000,6,"State","GA",11.3947610758656
2000,6,"Composite","GA",102.55284968279
2000,6,"National","IA",35.0695171195219
2000,6,"State","IA",23.3796780796813
2000,6,"Composite","IA",35.0695171195219
2000,6,"National","ID",111.410595391437
2000,6,"State","ID",111.410595391437
2000,6,"Composite","ID",139.263244239296
2000,6,"National","IL",156.066171522125
2000,6,"State","IL",54.8340602645304
2000,6,"Composite","IL",181.374199336524
2000,6,"National","IN",139.218731511135
2000,6,"State","IN",34.8046828777837
2000,6,"Composite","IN",156.621072950027
2000,6,"National","KS",137.861993030056
2000,6,"State","KS",19.6945704328652
2000,6,"Composite","KS",137.861993030056
2000,6,"National","KY",78.1776973251997
2000,6,"State","KY",26.0592324417332
2000,6,"Composite","KY",104.236929766933
2000,6,"National","LA",39.6217008113527
2000,6,"State","LA",39.6217008113527
2000,6,"Composite","LA",79.2434016227054
2000,6,"National","MA",10.8244828877481
2000,6,"State","MA",43.2979315509922
2000,6,"Composite","MA",54.1224144387403
2000,6,"National","MD",27.1502956298507
2000,6,"State","MD",27.1502956298507
2000,6,"Composite","MD",27.1502956298507
2000,6,"National","ME",78.6710977891177
2000,6,"State","ME",59.0033233418383
2000,6,"Composite","ME",78.6710977891177
2000,6,"National","MI",18.105369271739
2000,6,"State","MI",54.3161078152172
2000,6,"Composite","MI",72.4214770869562
2000,6,"National","MN",48.442204303359
2000,6,"State","MN",48.442204303359
2000,6,"Composite","MN",80.7370071722649
2000,6,"National","MO",90.5775113263041
2000,6,"State","MO",10.0641679251449
2000,6,"Composite","MO",100.641679251449
2000,6,"National","MT",73.2133453391393
2000,6,"State","MT",146.426690678279
2000,6,"Composite","MT",146.426690678279
2000,6,"National","NC",121.753818055662
2000,6,"State","NC",86.9670128969017
