ASSET,ELNATR,ID,LNLSGR,PTXNOINC,STNAME,YEAR
27484485,67984,SI_1988_WA,17782008,188682,Washington,1988
17080763,46892,SI_1988_WI,12886431,118835,Wisconsin,1988
2074063,4721,SI_1988_WV,1473381,10907,West Virginia,1988
1305334,12468,SI_1988_WY,555151,-16243,Wyoming,1988
211840,1081,SI_1989_AK,95161,33,Alaska,1989
8214243,26810,SI_1989_AL,4690379,-17588,Alabama,1989
3076905,17741,SI_1989_AR,1746642,-5272,Arkansas,1989
12839186,545067,SI_1989_AZ,6942648,-802231,Arizona,1989
357605157,3598218,SI_1989_CA,258210680,-644367,California,1989
11314434,205111,SI_1989_CO,5376653,-254413,Colorado,1989
49893642,409416,SI_1989_CT,38305382,50683,Connecticut,1989
2207531,17202,SI_1989_DE,1389601,-6279,Delaware,1989
76114502,462760,SI_1989_FL,46522952,-857787,Florida,1989
17929722,62029,SI_1989_GA,11785554,15630,Georgia,1989
118058,98,SI_1989_GU,85337,3203,Guam,1989
7251175,11643,SI_1989_HI,4207756,40380,Hawaii,1989
8796482,52484,SI_1989_IA,5314546,-11819,Iowa,1989
898326,1986,SI_1989_ID,564283,2532,Idaho,1989
60754002,151210,SI_1989_IL,36501485,211459,Illinois,1989
13688583,21697,SI_1989_IN,9695803,92035,Indiana,1989
18277559,42406,SI_1989_KS,6415127,12644,Kansas,1989
7786670,9799,SI_1989_KY,5244166,56283,Kentucky,1989
10192324,111353,SI_1989_LA,6738834,-185199,Louisiana,1989
63147117,747242,SI_1989_MA,45851186,-501953,Massachusetts,1989
21699679,90912,SI_1989_MD,14965901,97612,Maryland,1989
7626312,164361,SI_1989_ME,5744995,-92320,Maine,1989
35014916,55090,SI_1989_MI,16599546,39438,Michigan,1989
10967510,48479,SI_1989_MN,6518375,-4334,Minnesota,1989
21313832,149928,SI_1989_MO,11554961,-331053,Missouri,1989
3980572,34246,SI_1989_MS,2443285,-33758,Mississippi,1989
1179449,2630,SI_1989_MT,700913,9081,Montana,1989
20965545,58350,SI_1989_NC,15624409,64761,North Carolina,1989
4186043,26376,SI_1989_ND,2157383,-8956,North Dakota,1989
9785968,67279,SI_1989_NE,4375117,-64235,Nebraska,1989
10911933,254984,SI_1989_NH,8599937,-186791,New Hampshire,1989
58356867,325900,SI_1989_NJ,39307869,-7910,New Jersey,1989
3689424,75474,SI_1989_NM,1909073,-135652,New Mexico,1989
4970882,14341,SI_1989_NV,2261466,22873,Nevada,1989
175071911,983500,SI_1989_NY,111669194,-938484,New York,1989
48690604,148870,SI_1989_OH,33508703,171309,Ohio,1989
7714146,50370,SI_1989_OK,3284478,-29672,Oklahoma,1989
10929675,103018,SI_1989_OR,6282893,-425644,Oregon,1989
57299576,191708,SI_1989_PA,36337628,-418363,Pennsylvania,1989
7068098,53119,SI_1989_PR,4323209,-6605,Puerto Rico,1989
7049074,89420,SI_1989_RI,5591865,-4360,Rhode Island,1989
10941345,48398,SI_1989_SC,8609119,11427,South Carolina,1989
1438817,21996,SI_1989_SD,966793,-11548,South Dakota,1989
11175522,57521,SI_1989_TN,7452739,20326,Tennessee,1989
68788856,657000,SI_1989_TX,22630909,-671368,Texas,1989
4817543,46670,SI_1989_UT,2407551,-160308,Utah,1989
29114731,128051,SI_1989_VA,20339594,-75407,Virginia,1989
34356,229,SI_1989_VI,22610,27,Virgin Islands Of The U.S.,1989
2155685,35007,SI_1989_VT,1817998,-11475,Vermont,1989
26639513,43484,SI_1989_WA,18138365,179561,Washington,1989
16973093,52872,SI_1989_WI,12794622,79480,Wisconsin,1989
2166647,4632,SI_1989_WV,1504521,12687,West Virginia,1989
1141172,5546,SI_1989_WY,558281,-7265,Wyoming,1989
211813,-632,SI_1990_AK,95735,1149,Alaska,1990
7877409,40760,SI_1990_AL,4369123,-37892,Alabama,1990
2581677,8212,SI_1990_AR,1375500,5162,Arkansas,1990
220010,3262,SI_1990_AZ,162666,-3941,Arizona,1990
333476139,2309889,SI_1990_CA,246172560,-1158838,California,1990
9855436,38628,SI_1990_CO,3955828,-87208,Colorado,1990
47501199,1001392,SI_1990_CT,35648610,-968809,Connecticut,1990
2119014,30516,SI_1990_DE,1190253,-80972,Delaware,1990
53641851,381182,SI_1990_FL,33182512,-463881,Florida,1990
17729794,94029,SI_1990_GA,11217900,-20468,Georgia,1990
130085,51,SI_1990_GU,92744,1851,Guam,1990
7313966,7555,SI_1990_HI,4322338,118611,Hawaii,1990
5818571,27312,SI_1990_IA,3605065,18418,Iowa,1990
925548,4449,SI_1990_ID,587393,295,Idaho,1990
53822264,113142,SI_1990_IL,32629727,287662,Illinois,1990
13544931,29182,SI_1990_IN,9581844,105642,Indiana,1990
8942590,27482,SI_1990_KS,6116261,54349,Kansas,1990
7854267,11352,SI_1990_KY,5234555,53297,Kentucky,1990
8153743,27147,SI_1990_LA,5568462,-187927,Louisiana,1990
54620883,822711,SI_1990_MA,39284117,-690322,Massachusetts,1990
21561046,197734,SI_1990_MD,13826865,76901,Maryland,1990
7258274,187978,SI_1990_ME,5303073,-163133,Maine,1990
32709122,91239,SI_1990_MI,16003267,12365,Michigan,1990
7126660,43646,SI_1990_MN,4258364,-20009,Minnesota,1990
18134156,74885,SI_1990_MO,9799712,-27882,Missouri,1990
