State,G_hcluster,hclust_score
kentucky,0,-0.6412630246077403
kentucky,0,-0.6412630246077403
kentucky,0,-0.6422362688594034
kentucky,0,-0.6422362688594034
kentucky,0,-0.6422362688594034
kentucky,0,-0.6422362688594034
pennsylvania,0,-0.6424421455289328
rhode island,0,-0.6435544360323028
vermont,0,-0.6457217337248458
vermont,0,-0.6457217337248458
wyoming,0,-0.6464186232616306
wyoming,0,-0.6464186232616306
wyoming,0,-0.6464186232616306
delaware,0,-0.647082352195765
north carolina,0,-0.6481978640601412
north carolina,0,-0.6481978640601412
north carolina,0,-0.6481978640601412
arkansas,0,-0.6521788220885479
indiana,0,-0.6522608206973978
oregon,0,-0.65264131613892
alaska,0,-0.652652480055292
alaska,0,-0.652652480055292
alaska,0,-0.652652480055292
alaska,0,-0.652652480055292
rhode island,0,-0.6545523039962216
rhode island,0,-0.6545523039962216
rhode island,0,-0.6545523039962216
rhode island,0,-0.6545523039962216
massachusetts,0,-0.6548636330989761
massachusetts,0,-0.6548636330989761
massachusetts,0,-0.6548636330989761
wyoming,0,-0.6573976290273668
south dakota,1,-0.6597165488382656
south dakota,1,-0.6597165488382656
tennessee,0,-0.6619602681687419
tennessee,0,-0.6619602681687419
vermont,0,-0.6635776907218859
vermont,0,-0.6635776907218859
kentucky,0,-0.667385427372775
kentucky,0,-0.667385427372775
rhode island,0,-0.6678353314508867
rhode island,0,-0.6678353314508867
washington,0,-0.6701295353826442
washington,0,-0.6701295353826442
florida,0,-0.6702765001149026
florida,0,-0.6702765001149026
new mexico,0,-0.6721127410689978
new mexico,0,-0.6721127410689978
new mexico,0,-0.6721127410689978
minnesota,0,-0.6726219148941465
minnesota,0,-0.6726219148941465
minnesota,0,-0.6726219148941465
north dakota,0,-0.6750275184208999
new mexico,0,-0.6758004808612312
new mexico,0,-0.6758004808612312
new mexico,0,-0.6758004808612312
delaware,0,-0.6765442223080296
delaware,0,-0.6765442223080296
delaware,0,-0.6765442223080296
maine,0,-0.6766747790864136
wyoming,0,-0.6809850341969055
wyoming,0,-0.6809850341969055
wyoming,0,-0.6809850341969055
indiana,0,-0.6857341711591942
indiana,0,-0.6857341711591942
oregon,0,-0.687543409704633
oregon,0,-0.687543409704633
oregon,0,-0.687543409704633
connecticut,0,-0.690866199577437
connecticut,0,-0.690866199577437
wyoming,0,-0.6914153765657096
vermont,0,-0.6943782387318139
maryland,0,-0.7021240591500257
maryland,0,-0.7021240591500257
maryland,0,-0.7021240591500257
maryland,0,-0.7021240591500257
north carolina,0,-0.7060193918348201
north carolina,0,-0.7060193918348201
north carolina,0,-0.7060193918348201
north carolina,0,-0.7060193918348201
california,0,-0.709484410623553
utah,0,-0.7116680542857973
california,0,-0.7146075408519619
california,0,-0.7146075408519619
south carolina,0,-0.7147554214785624
south carolina,0,-0.7147554214785624
south carolina,0,-0.7147554214785624
kentucky,0,-0.7162524286819337
new jersey,0,-0.7174004907396203
new jersey,0,-0.7174004907396203
new jersey,0,-0.7174004907396203
wyoming,0,-0.7179867517573147
wyoming,0,-0.7179867517573147
florida,0,-0.7184566969381497
new hampshire,0,-0.7218323743102525
new hampshire,0,-0.7218323743102525
new hampshire,0,-0.7218323743102525
new hampshire,0,-0.7218323743102525
vermont,0,-0.7219124965253534
michigan,0,-0.7234273958019926
kansas,0,-0.7275758094166699
kansas,0,-0.7275758094166699
kansas,0,-0.7275758094166699
nebraska,0,-0.7302001887889318
nebraska,0,-0.7302001887889318
nebraska,0,-0.7302001887889318
nebraska,0,-0.7302001887889318
michigan,0,-0.7322531287934108
vermont,0,-0.7353033137345408
vermont,0,-0.7353033137345408
maryland,0,-0.7355395873107381
maryland,0,-0.7355395873107381
kansas,0,-0.737347383937628
pennsylvania,0,-0.7387398407542389
pennsylvania,0,-0.7387398407542389
north carolina,0,-0.7397810587785446
north carolina,0,-0.7397810587785446
maryland,0,-0.7398457843584304
north carolina,0,-0.7398987878746984
north carolina,0,-0.7398987878746984
north carolina,0,-0.7398987878746984
north carolina,0,-0.7398987878746984
california,0,-0.7407025367860689
connecticut,0,-0.7413182058655889
connecticut,0,-0.7413182058655889
connecticut,0,-0.7413182058655889
connecticut,0,-0.7413182058655889
pennsylvania,0,-0.741414708010607
